[INFO] Fast + FREAK on CPU
	78
0.00324622	113	89
0.00353232	122	86
0.00387725	131	82
0.00385122	117	78
0.00384086	123	74
0.00437622	124	70
0.00353356	126	66
0.0045153	128	62
0.00479753	136	57
0.00330532	122	52
0.00350293	130	47
0.00375522	139
number of tracks: 50
0.00430698	125	125
0.00356257	118	125
0.00366304	144	125
0.00383864	131	125
0.0036033	146	125
0.00389052	136	125
0.00529359	144	125
0.00335818	134	125
0.00301865	122	125
0.00433597	137	125
0.00350569	194	125
0.00609773	133	125
0.00322449	107	125
0.00381424	112	125
0.00439953	97	125
0.00442078	123	125
0.00376569	126	125
0.00490828	123	125
0.00361093	113	125
0.00351332	137	125
0.0039446	133	124
0.00403609	134	123
0.003644	140	122
0.00351175	145	121
0.00408622	150	120
0.00379755	138	119
0.00316518	139	118
0.00418135	149	117
0.00438615	149	116
0.00465242	153	114
0.00395427	152	112
0.00350545	139	110
0.00366664	149	108
0.00491082	153	106
0.00347764	148	104
0.00368236	152	101
0.00609883	144	97
0.00272973	158	93
0.00482769	141	89
0.0036838	145	85
0.0047485	197	80
0.00347131	119	75
0.00377693	124	70
0.00299294	120	64
0.00387674	119	58
0.00315596	137	51
0.00367577	138	44
0.00325017	135	36
0.00386082	137	27
0.00417608	147
number of tracks: 50
0.00373558	134	134
0.00333188	139	134
0.00464893	158	134
0.00380101	155	134
0.00342297	151	134
0.00359709	149	134
0.00492051	178	134
0.00405248	152	134
0.00469023	161	134
0.00310879	137	134
0.00421565	180	134
0.0035547	157	134
0.00387559	178	134
0.00479498	166	134
0.0040426	153	134
0.00404501	174	134
0.00442543	162	134
0.00393402	162	133
0.0042383	180	132
0.00502709	152	131
0.00417895	217	130
0.00345085	131	128
0.00431424	140	125
0.00338831	129	122
0.00377286	136	119
0.00340352	138	116
0.00476703	142	113
0.00376824	153	110
0.00491912	168	106
0.00319659	169	102
0.00430323	166	98
0.00464264	164	94
0.00314152	162	89
0.00452594	185	84
0.0053123	189	79
0.00508212	178	74
0.00637986	176	69
0.00512905	208	64
0.00508806	187	59
0.0050397	191	54
0.00466234	209	49
0.00391436	211	44
0.00539229	218	39
0.00454477	216	34
0.00400824	234	29
0.00463483	210	24
0.00419892	211	19
0.00436915	231	14
0.00479487	218	9
0.00419836	202
number of tracks: 50
0.00434621	242	242
0.0050802	163	242
0.00379188	176	242
0.00416176	174	242
0.00374441	178	242
0.00350787	159	242
0.00398055	191	242
0.00523835	165	242
0.00405111	159	242
0.00453346	177	242
0.00311325	167	242
0.00347106	173	242
0.00478724	157	242
0.00376123	142	242
0.00392552	157	242
0.00409887	156	242
0.00507933	148	242
0.00417773	171	242
0.00340673	149	242
0.00353794	158	242
0.0032141	153	242
0.00492502	180	242
0.00375104	162	242
0.00333022	162	242
0.00367902	150	242
0.00484537	153	242
0.00320207	151	242
0.00324461	171	242
0.00460977	182	242
0.00384467	196	242
0.00452304	265	242
0.00444102	171	242
0.00388023	156	242
0.00370181	166	242
0.00502455	156	242
0.00362939	175	242
0.00315531	183	242
0.00468058	181	242
0.00366878	184	242
0.00441197	197	242
0.00375981	192	242
0.00333458	206
