[INFO] Harris + BRIEF on CPU
	20
0.0487734	7	0
0.057909	26	0
0.0602443	7	0
0.0608686	7	0
0.0657753	5
number of tracks: 50
0.0610775	10	10
0.0648942	6	10
0.0597753	1	10
0.0699025	9	10
0.0692093	4	10
0.0532475	4	10
0.0550026	5	10
0.0652789	6	10
0.0640131	7	10
0.0658702	9	10
0.0614603	24	10
0.0699124	22	10
0.0586053	24	10
0.0561842	20	10
0.06715	25	10
0.0641035	7	10
0.0633027	23	10
0.0623158	10	10
0.067441	15	10
0.0646314	23	10
0.0638204	30	10
0.06585	36	10
0.0662639	7	10
0.0604223	10	10
0.0641893	18	10
0.0649615	12	10
0.0617648	19	10
0.0621644	12	10
0.0652002	5	10
0.0702486	10	10
0.0744177	6	10
0.0613043	3	10
0.0604399	14	10
0.0800116	6	10
0.0756982	3	10
0.0619717	6	10
0.0606746	7	10
0.0548638	15	10
0.0563475	26	10
0.0660194	5	10
0.0673581	58	10
0.0500984	3	10
0.0599632	19	10
0.064802	10	10
0.0604579	4	10
0.0657174	6	9
0.0625046	6	8
0.0668739	3	7
0.0663877	2	5
0.0662448	5
number of tracks: 50
0.0501914	10	10
0.0553269	29	10
0.062151	3	10
0.0649067	55	10
0.0504671	7	10
0.060832	10	10
0.0687248	12	10
0.0544679	8	10
0.0874033	9	10
0.0683566	6	10
0.0647254	50	10
0.0779695	11	10
0.0733768	3	10
0.0668716	27	10
0.0707714	178	10
0.069779	4	10
0.0678682	1	10
0.0668411	2	10
0.0744944	35	10
0.0739429	12	10
0.0636551	29	10
0.0601035	13	10
0.0713324	50	10
0.0686124	12	10
0.0624992	6	10
0.0904449	37	10
0.0781948	9	10
0.0675642	11	10
0.0475599	4	10
0.0518064	5	10
0.0557063	3	10
0.065967	3	10
0.0552736	7	10
0.0689276	40	10
0.0652181	2	10
0.0739497	7	10
0.0627919	2	10
0.0703998	7	10
0.0659822	13	10
0.0688467	4	10
0.0637251	3	10
0.0564667	2	10
0.0774158	792	10
0.0695051	21	10
0.0627555	32	10
0.113917	1210	10
0.0656124	170	10
0.0662556	101	10
0.0870059	969	10
0.0631789	45
number of tracks: 50
0.0632983	96	96
0.0610695	73	96
0.0716057	446	96
0.519972	3414	96
0.0673851	68	96
0.065738	8	96
0.0617144	300	96
0.0672039	113	96
0.0632205	249	96
0.0668607	369	96
0.0511764	69	96
0.0578034	36	96
0.0715653	375	96
0.071567	365	96
0.0653694	157	96
0.0723445	201	96
0.101317	894	96
0.0702934	179	96
0.0679301	117	96
0.0682358	5	96
0.0602416	81	96
0.0655347	104	96
0.0653257	57	96
0.0636883	6	96
0.0600034	8	96
0.0622617	21	96
0.0631108	11	96
0.0678101	8	96
0.0659953	9	96
0.0669002	157	96
0.0691471	271	96
0.0673869	3	96
0.0693722	5	96
0.0679857	1	96
0.0662751	140	96
0.0617097	27	96
0.0646301	20	96
0.0649266	22	96
0.0593761	6	96
0.0623738	92	96
0.0650215	35	96
0.0638865	6
